Date,Weight Class,Method,Round,Time,Fighter 1 Name,Fighter 1 Result,Fighter 1 KD,Fighter 1 SIG STR,Fighter 1 TD,Fighter 1 SUB ATT,Fighter 1 REV,Fighter 1 Ctrl,Fighter 1 Distance,Fighter 1 Clinch,Fighter 1 Ground,Fighter 2 Name,Fighter 2 Result,Fighter 2 KD,Fighter 2 SIG STR,Fighter 2 TD,Fighter 2 SUB ATT,Fighter 2 REV,Fighter 2 Ctrl,Fighter 2 Distance,Fighter 2 Clinch,Fighter 2 Ground
"June 03, 2023",Women's Strawweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Elise Reed,W,0,53 of 120,0 of 1,0,0,1:29,45 of 111,8 of 9,0 of 0,Jinh Yu Frey,L,0,28 of 91,3 of 7,0,0,4:09,26 of 84,2 of 4,0 of 3
"June 03, 2023",Bantamweight Bout,Method:KO/TKO,Round:2,Time:3:54,Da'Mon Blackshear,W,0,66 of 135,1 of 2,0,1,2:14,38 of 96,8 of 13,20 of 26,Luan Lacerda,L,0,28 of 64,1 of 4,1,1,0:26,25 of 61,3 of 3,0 of 0
"June 03, 2023",Light Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Philipe Lins,W,0,45 of 106,1 of 3,0,0,8:24,36 of 92,9 of 14,0 of 0,Maxim Grishin,L,0,41 of 80,0 of 3,0,0,0:36,29 of 65,12 of 15,0 of 0
"May 20, 2023",Women's Strawweight Bout,Method:Decision - Unanimous,Round:5,Time:5:00,Mackenzie Dern,W,1,126 of 210,3 of 9,0,0,13:12,58 of 132,19 of 22,49 of 56,Angela Hill,L,0,66 of 108,0 of 0,0,0,7:11,35 of 74,30 of 31,1 of 3
"May 20, 2023",Middleweight Bout,Method:KO/TKO,Round:3,Time:1:01,Edmen Shahbazyan,L,0,30 of 51,1 of 1,1,0,0:41,17 of 35,11 of 14,2 of 2,Anthony Hernandez,W,0,63 of 88,6 of 15,4,0,7:11,15 of 33,8 of 8,40 of 47
"May 20, 2023",Catch Weight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Emily Ducote,L,0,112 of 270,0 of 4,0,0,0:11,106 of 262,6 of 8,0 of 0,Loopy Godinez,W,0,132 of 246,1 of 3,0,0,0:13,121 of 232,11 of 14,0 of 0
"May 20, 2023",Welterweight Bout,Method:KO/TKO,Round:2,Time:4:15,Andre Fialho,L,0,22 of 51,0 of 0,0,0,0:07,21 of 50,1 of 1,0 of 0,Joaquin Buckley,W,1,26 of 89,2 of 3,0,0,0:23,26 of 89,0 of 0,0 of 0
"May 20, 2023",Lightweight Bout,Method:KO/TKO,Round:2,Time:1:50,Diego Ferreira,W,1,30 of 71,0 of 2,0,0,0:01,29 of 70,0 of 0,1 of 1,Michael Johnson,L,0,32 of 58,0 of 0,0,0,0:00,32 of 58,0 of 0,0 of 0
"May 20, 2023",Lightweight Bout,Method:KO/TKO,Round:2,Time:2:37,Maheshate,L,0,32 of 109,0 of 2,0,0,0:00,29 of 99,3 of 10,0 of 0,Viacheslav Borshchev,W,3,85 of 148,0 of 0,0,0,0:09,69 of 118,11 of 18,5 of 12
"May 20, 2023",Women's Strawweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Karolina Kowalkiewicz,W,0,139 of 237,0 of 0,0,0,1:52,134 of 230,5 of 7,0 of 0,Vanessa Demopoulos,L,0,68 of 221,0 of 4,0,0,0:00,65 of 216,3 of 5,0 of 0
"May 20, 2023",Welterweight Bout,Method:KO/TKO,Round:2,Time:2:55,Orion Cosce,L,0,16 of 32,0 of 0,0,0,0:05,14 of 29,1 of 2,1 of 1,Gilbert Urbina,W,1,51 of 82,2 of 2,1,0,3:06,27 of 55,4 of 4,20 of 23
"May 20, 2023",Heavyweight Bout,Method:Decision - Split,Round:3,Time:5:00,Ilir Latifi,L,0,49 of 77,2 of 7,0,0,3:50,46 of 72,1 of 3,2 of 2,Rodrigo Nascimento,W,0,68 of 152,0 of 0,0,0,0:00,61 of 145,7 of 7,0 of 0
"May 20, 2023",Lightweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Chase Hooper,W,0,149 of 245,1 of 10,1,1,3:54,97 of 160,42 of 73,10 of 12,Nick Fiore,L,0,51 of 90,4 of 8,0,0,4:47,34 of 66,11 of 17,6 of 7
"May 20, 2023",Women's Flyweight Bout,Method:KO/TKO,Round:1,Time:2:58,Natalia Silva,W,1,20 of 45,0 of 0,0,0,0:16,20 of 44,0 of 0,0 of 1,Victoria Leonardo,L,0,7 of 18,0 of 1,0,0,0:00,7 of 18,0 of 0,0 of 0
"May 20, 2023",Welterweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Takashi Sato,L,0,30 of 47,2 of 6,0,1,2:21,5 of 16,15 of 16,10 of 15,Themba Gorimbo,W,1,33 of 56,3 of 8,0,2,11:15,12 of 25,9 of 12,12 of 19
"May 13, 2023",Heavyweight Bout,Method:Submission,Round:1,Time:3:43,Jairzinho Rozenstruik,L,0,0 of 2,0 of 0,0,0,0:00,0 of 2,0 of 0,0 of 0,Jailton Almeida,W,0,4 of 7,1 of 2,1,0,3:09,0 of 2,0 of 0,4 of 5
"May 13, 2023",Light Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Anthony Smith,L,0,38 of 92,1 of 3,0,0,1:22,38 of 91,0 of 1,0 of 0,Johnny Walker,W,0,92 of 192,1 of 1,0,0,0:32,81 of 178,6 of 8,5 of 6
"May 13, 2023",Welterweight Bout,Method:KO/TKO,Round:1,Time:2:57,Daniel Rodriguez,L,0,7 of 25,0 of 0,0,0,0:00,7 of 25,0 of 0,0 of 0,Ian Garry,W,1,23 of 46,0 of 0,0,0,0:10,12 of 28,0 of 0,11 of 18
"May 13, 2023",Light Heavyweight Bout,Method:KO/TKO,Round:1,Time:2:09,Carlos Ulberg,W,1,13 of 21,0 of 0,0,0,0:08,5 of 11,0 of 0,8 of 10,Ihor Potieria,L,0,5 of 9,0 of 1,0,0,0:00,5 of 9,0 of 0,0 of 0
"May 13, 2023",Welterweight Bout,Method:Submission,Round:2,Time:2:09,Tim Means,L,0,40 of 87,2 of 2,0,0,0:46,30 of 74,10 of 13,0 of 0,Alex Morono,W,0,33 of 92,0 of 0,1,0,0:00,31 of 86,2 of 6,0 of 0
"May 13, 2023",Welterweight Bout,Method:KO/TKO,Round:1,Time:4:09,Matt Brown,W,1,11 of 15,0 of 0,0,0,0:02,10 of 14,1 of 1,0 of 0,Court McGee,L,0,8 of 31,1 of 1,0,0,1:57,6 of 29,2 of 2,0 of 0
"May 13, 2023",Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Karl Williams,W,0,70 of 165,1 of 10,0,0,2:35,65 of 159,2 of 3,3 of 3,Chase Sherman,L,0,54 of 158,0 of 0,0,0,0:12,46 of 148,8 of 10,0 of 0
"May 13, 2023",Catch Weight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Cody Stamann,L,1,54 of 139,1 of 5,0,0,1:59,49 of 133,0 of 0,5 of 6,Douglas Silva de Andrade,W,0,61 of 178,0 of 1,0,0,0:00,60 of 175,1 of 3,0 of 0
"May 13, 2023",Women's Flyweight Bout,Method:Decision - Split,Round:3,Time:1:55,Ji Yeon Kim,L,0,10 of 36,0 of 1,1,1,5:44,7 of 32,3 of 3,0 of 1,Mandy Bohm,W,0,17 of 31,2 of 6,1,1,4:05,10 of 21,5 of 8,2 of 2
"May 13, 2023",Welterweight Bout,Method:KO/TKO,Round:1,Time:0:14,Bryan Battle,W,1,3 of 9,0 of 0,0,0,0:03,2 of 7,0 of 0,1 of 2,Gabe Green,L,0,6 of 12,0 of 0,0,0,0:00,6 of 12,0 of 0,0 of 0
"May 13, 2023",Women's Bantamweight Bout,Method:Submission,Round:3,Time:4:20,Jessica-Rose Clark,L,0,26 of 60,1 of 7,0,0,7:36,23 of 53,2 of 5,1 of 2,Tainara Lisboa,W,0,42 of 83,1 of 2,1,0,2:09,29 of 64,11 of 16,2 of 3
"May 06, 2023",UFC Bantamweight Title Bout,Method:Decision - Split,Round:5,Time:5:00,Aljamain Sterling,W,0,135 of 210,4 of 15,0,0,4:00,103 of 174,24 of 28,8 of 8,Henry Cejudo,L,0,99 of 174,3 of 8,0,0,5:06,82 of 152,16 of 21,1 of 1
"May 06, 2023",Welterweight Bout,Method:Decision - Unanimous,Round:5,Time:5:00,Belal Muhammad,W,0,132 of 283,0 of 0,0,0,0:00,132 of 283,0 of 0,0 of 0,Gilbert Burns,L,0,81 of 147,0 of 4,0,0,0:00,81 of 147,0 of 0,0 of 0
"May 06, 2023",Women's Strawweight Bout,Method:KO/TKO,Round:1,Time:2:20,Jessica Andrade,L,0,12 of 32,0 of 0,0,0,0:00,12 of 32,0 of 0,0 of 0,Yan Xiaonan,W,1,26 of 36,0 of 0,0,0,0:02,23 of 33,0 of 0,3 of 3
"May 06, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Movsar Evloev,W,0,88 of 129,4 of 7,0,0,8:30,45 of 81,11 of 11,32 of 37,Diego Lopes,L,0,37 of 69,0 of 0,4,1,0:41,27 of 55,3 of 3,7 of 11
"May 06, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Kron Gracie,L,0,32 of 57,0 of 0,0,0,0:43,32 of 57,0 of 0,0 of 0,Charles Jourdain,W,0,80 of 168,0 of 0,0,0,6:48,54 of 138,16 of 20,10 of 10
"May 06, 2023",Lightweight Bout,Method:KO/TKO,Round:1,Time:4:08,Drew Dober,L,0,20 of 59,0 of 0,0,0,0:00,19 of 58,1 of 1,0 of 0,Matt Frevola,W,1,35 of 75,0 of 1,0,0,0:08,22 of 58,1 of 2,12 of 15
"May 06, 2023",Light Heavyweight Bout,Method:Submission,Round:2,Time:2:28,Kennedy Nzechukwu,W,0,62 of 81,0 of 1,1,0,3:42,9 of 17,53 of 64,0 of 0,Devin Clark,L,0,36 of 58,1 of 4,0,0,1:04,13 of 28,23 of 30,0 of 0
"May 06, 2023",Welterweight Bout,Method:Decision - Split,Round:3,Time:5:00,Khaos Williams,W,0,130 of 283,0 of 0,0,0,1:13,126 of 276,4 of 7,0 of 0,Rolando Bedoya,L,0,149 of 209,0 of 2,0,0,0:07,136 of 196,13 of 13,0 of 0
"May 06, 2023",Women's Strawweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Marina Rodriguez,L,0,33 of 62,0 of 0,0,0,0:05,10 of 37,3 of 3,20 of 22,Virna Jandiroba,W,0,27 of 43,3 of 7,0,1,12:02,7 of 22,5 of 5,15 of 16
"May 06, 2023",Heavyweight Bout,Method:KO/TKO,Round:1,Time:2:10,Braxton Smith,L,0,14 of 29,0 of 1,0,0,0:00,14 of 29,0 of 0,0 of 0,Parker Porter,W,0,25 of 37,0 of 1,0,0,0:27,12 of 24,3 of 3,10 of 10
"May 06, 2023",Middleweight Bout,Method:KO/TKO,Round:1,Time:2:10,Phil Hawes,L,0,17 of 28,0 of 0,0,0,0:00,17 of 28,0 of 0,0 of 0,Ikram Aliskerov,W,1,20 of 33,0 of 0,0,0,0:00,19 of 31,1 of 2,0 of 0
"May 06, 2023",Middleweight Bout,Method:KO/TKO,Round:2,Time:3:21,Joseph Holmes,L,0,17 of 24,1 of 2,0,0,2:30,13 of 20,4 of 4,0 of 0,Claudio Ribeiro,W,1,37 of 63,1 of 1,0,0,3:07,10 of 24,1 of 2,26 of 37
"April 29, 2023",Bantamweight Bout,Method:KO/TKO,Round:5,Time:1:10,Song Yadong,W,2,105 of 228,0 of 0,0,0,0:27,85 of 203,1 of 1,19 of 24,Ricky Simon,L,0,60 of 139,2 of 9,0,0,0:51,57 of 135,0 of 0,3 of 4
"April 29, 2023",Middleweight Bout,Method:Submission,Round:2,Time:2:49,Caio Borralho,W,0,34 of 55,3 of 6,1,0,2:39,18 of 37,5 of 7,11 of 11,Michal Oleksiejczuk,L,0,30 of 65,0 of 1,0,0,0:13,26 of 61,4 of 4,0 of 0
"April 29, 2023",Middleweight Bout,Method:Submission,Round:2,Time:1:28,Rodolfo Vieira,W,0,10 of 15,1 of 7,2,0,4:19,1 of 5,2 of 2,7 of 8,Cody Brundage,L,1,20 of 29,0 of 0,1,0,1:04,10 of 18,0 of 0,10 of 11
"April 29, 2023",Featherweight Bout,Method:KO/TKO,Round:1,Time:1:41,Julian Erosa,L,0,15 of 24,0 of 1,0,0,0:00,15 of 24,0 of 0,0 of 0,Fernando Padilla,W,1,20 of 29,0 of 0,0,0,0:02,19 of 28,0 of 0,1 of 1
"April 29, 2023",Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Marcos Rogerio de Lima,W,0,59 of 76,3 of 7,0,0,5:01,56 of 72,2 of 2,1 of 2,Waldo Cortes-Acosta,L,0,82 of 150,0 of 1,0,0,0:34,79 of 146,3 of 3,0 of 1
"April 29, 2023",Welterweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Josh Quinlan,L,0,50 of 128,1 of 8,0,0,0:54,46 of 124,2 of 2,2 of 2,Trey Waters,W,0,104 of 203,1 of 2,0,0,0:27,102 of 201,1 of 1,1 of 1
"April 29, 2023",Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Martin Buday,W,0,98 of 177,0 of 0,0,0,1:45,72 of 143,19 of 27,7 of 7,Jake Collier,L,0,94 of 207,0 of 1,0,0,4:31,77 of 185,15 of 17,2 of 5
"April 29, 2023",Flyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Cody Durden,W,0,56 of 99,11 of 18,0,0,9:33,46 of 89,3 of 3,7 of 7,Charles Johnson,L,0,52 of 101,0 of 0,1,0,0:08,46 of 91,5 of 9,1 of 1
"April 29, 2023",Women's Bantamweight Bout,Method:Submission,Round:1,Time:2:11,Stephanie Egger,L,0,9 of 24,0 of 0,0,0,0:00,9 of 24,0 of 0,0 of 0,Irina Alekseeva,W,0,18 of 44,0 of 1,1,0,0:00,17 of 43,1 of 1,0 of 0
"April 29, 2023",Catch Weight Bout,Method:Submission,Round:2,Time:2:03,Journey Newson,L,0,13 of 46,0 of 6,0,0,1:03,12 of 45,1 of 1,0 of 0,Marcus McGhee,W,1,25 of 53,0 of 0,1,0,0:31,21 of 47,3 of 4,1 of 2
"April 29, 2023",Women's Bantamweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Hailey Cowan,L,0,63 of 150,2 of 8,0,0,4:50,43 of 126,16 of 20,4 of 4,Jamey-Lyn Horth,W,0,76 of 104,0 of 1,0,0,1:07,46 of 74,30 of 30,0 of 0
"April 22, 2023",Heavyweight Bout,Method:KO/TKO,Round:1,Time:3:08,Sergei Pavlovich,W,1,36 of 85,0 of 0,0,0,0:00,32 of 81,0 of 0,4 of 4,Curtis Blaydes,L,0,14 of 56,0 of 1,0,0,0:00,14 of 56,0 of 0,0 of 0
"April 22, 2023",Middleweight Bout,Method:KO/TKO,Round:1,Time:3:35,Brad Tavares,L,0,15 of 64,0 of 0,0,0,0:00,15 of 64,0 of 0,0 of 0,Bruno Silva,W,1,23 of 51,0 of 0,0,0,0:02,21 of 48,1 of 2,1 of 1
"April 22, 2023",Women's Flyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Iasmin Lucindo,W,0,53 of 118,4 of 5,0,0,0:46,51 of 115,2 of 2,0 of 1,Brogan Walker,L,0,29 of 145,0 of 0,0,0,1:04,22 of 137,7 of 8,0 of 0
"April 22, 2023",Welterweight Bout,Method:Decision - Split,Round:3,Time:5:00,Jeremiah Wells,W,0,36 of 76,6 of 10,0,0,11:12,10 of 28,2 of 3,24 of 45,Matthew Semelsberger,L,2,20 of 37,0 of 1,0,0,1:29,12 of 22,4 of 5,4 of 10
"April 22, 2023",Lightweight Bout,Method:KO/TKO,Round:1,Time:1:35,Ricky Glenn,L,0,2 of 11,0 of 0,0,0,0:00,2 of 11,0 of 0,0 of 0,Christos Giagos,W,1,9 of 16,0 of 0,0,0,0:00,8 of 15,0 of 0,1 of 1
"April 22, 2023",Bantamweight Bout,Method:KO/TKO,Round:1,Time:3:42,Rani Yahya,L,0,7 of 21,0 of 3,0,0,0:08,7 of 21,0 of 0,0 of 0,Montel Jackson,W,1,9 of 21,0 of 0,0,0,1:17,5 of 14,0 of 0,4 of 7
"April 22, 2023",Women's Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Karol Rosa,L,1,33 of 68,0 of 2,0,0,3:13,20 of 53,13 of 15,0 of 0,Norma Dumont,W,0,35 of 87,1 of 1,0,0,4:54,27 of 76,8 of 11,0 of 0
"April 22, 2023",Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Mohammed Usman,W,0,7 of 29,2 of 12,0,0,12:03,2 of 22,2 of 2,3 of 5,Junior Tafa,L,0,22 of 61,0 of 0,0,0,0:00,12 of 45,10 of 16,0 of 0
"April 22, 2023",Featherweight Bout,Method:Decision - Split,Round:3,Time:5:00,Francis Marshall,L,0,15 of 132,2 of 5,2,0,4:20,13 of 129,0 of 0,2 of 3,William Gomis,W,0,27 of 79,0 of 0,0,0,0:17,27 of 78,0 of 1,0 of 0
"April 22, 2023",Bantamweight Bout,Method:KO/TKO,Round:3,Time:4:21,Brady Hiestand,W,0,45 of 81,3 of 7,0,0,4:09,41 of 77,0 of 0,4 of 4,Batgerel Danaa,L,1,41 of 134,1 of 1,0,1,1:00,29 of 112,7 of 9,5 of 13
"April 15, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:5,Time:5:00,Max Holloway,W,0,147 of 262,0 of 0,0,0,0:03,146 of 261,1 of 1,0 of 0,Arnold Allen,L,0,76 of 225,0 of 0,0,0,0:42,76 of 225,0 of 0,0 of 0
"April 15, 2023",Featherweight Bout,Method:KO/TKO,Round:1,Time:2:37,Edson Barboza,W,1,21 of 33,0 of 0,0,0,0:02,19 of 31,1 of 1,1 of 1,Billy Quarantillo,L,0,19 of 42,0 of 2,0,0,0:39,18 of 41,1 of 1,0 of 0
"April 15, 2023",Light Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Dustin Jacoby,L,0,64 of 131,1 of 6,0,0,3:06,60 of 126,4 of 5,0 of 0,Azamat Murzakanov,W,1,67 of 127,1 of 5,0,0,0:16,64 of 122,3 of 5,0 of 0
"April 15, 2023",Light Heavyweight Bout,Method:KO/TKO,Round:1,Time:2:05,Tanner Boser,L,0,5 of 16,0 of 0,0,0,0:00,5 of 16,0 of 0,0 of 0,Ion Cutelaba,W,0,30 of 40,1 of 1,0,0,0:17,14 of 24,0 of 0,16 of 16
"April 15, 2023",Bantamweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Pedro Munhoz,W,1,60 of 174,0 of 1,0,0,2:54,52 of 160,1 of 1,7 of 13,Chris Gutierrez,L,0,77 of 133,0 of 0,0,0,0:06,75 of 130,1 of 1,1 of 2
"April 15, 2023",Lightweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Clay Guida,L,0,63 of 252,0 of 3,0,0,0:00,63 of 252,0 of 0,0 of 0,Rafa Garcia,W,0,141 of 287,0 of 1,0,0,0:20,138 of 284,3 of 3,0 of 0
"April 15, 2023",Featherweight Bout,Method:Submission,Round:2,Time:1:40,Bill Algeo,W,1,64 of 110,1 of 1,1,0,1:42,48 of 94,5 of 5,11 of 11,TJ Brown,L,0,46 of 91,1 of 2,0,1,0:39,33 of 76,13 of 15,0 of 0
"April 15, 2023",Flyweight Bout,Method:KO/TKO,Round:1,Time:2:09,Brandon Royval,W,1,13 of 22,0 of 0,0,0,0:07,3 of 9,0 of 0,10 of 13,Matheus Nicolau,L,0,2 of 5,0 of 0,0,0,0:00,2 of 5,0 of 0,0 of 0
"April 15, 2023",Light Heavyweight Bout,Method:KO/TKO,Round:3,Time:4:13,Zak Cummings,W,3,100 of 175,0 of 0,0,0,3:18,83 of 154,3 of 5,14 of 16,Ed Herman,L,0,54 of 117,0 of 1,0,0,0:00,46 of 106,4 of 7,4 of 4
"April 15, 2023",Women's Strawweight Bout,Method:Submission,Round:2,Time:4:21,Gillian Robertson,W,0,26 of 39,2 of 3,1,0,6:23,12 of 23,0 of 0,14 of 16,Piera Rodriguez,L,0,12 of 33,1 of 1,0,0,0:54,12 of 33,0 of 0,0 of 0
"April 15, 2023",Lightweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Lando Vannata,L,0,51 of 91,0 of 3,0,0,0:06,49 of 87,2 of 2,0 of 2,Daniel Zellhuber,W,1,78 of 207,0 of 1,0,0,1:44,49 of 149,7 of 7,22 of 51
"April 15, 2023",Women's Strawweight Bout,Method:KO/TKO,Round:2,Time:2:42,Bruna Brasil,L,0,15 of 22,0 of 1,0,0,1:19,9 of 15,6 of 7,0 of 0,Denise Gomes,W,1,54 of 93,3 of 3,0,0,3:53,21 of 47,10 of 12,23 of 34
"April 15, 2023",Bantamweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Aaron Phillips,L,0,17 of 39,3 of 5,1,0,6:01,16 of 37,1 of 2,0 of 0,Gaston Bolanos,W,0,63 of 127,0 of 0,0,1,1:36,43 of 93,0 of 0,20 of 34
"April 15, 2023",Women's Bantamweight Bout,Method:Decision - Split,Round:3,Time:5:00,Joselyne Edwards,W,0,56 of 114,0 of 1,0,1,0:29,46 of 98,5 of 9,5 of 7,Lucie Pudilova,L,0,39 of 98,2 of 7,0,0,7:29,21 of 67,7 of 10,11 of 21
